cluster_id,industry_final,count
14,telecommunications,67
14,transportation/trucking/railroad,79
14,venture capital & private equity,23
14,warehousing,64
14,wholesale,18
14,wine and spirits,155
15,Unknown,57
15,hospital & health care,109
15,mental health care,21
15,textiles,1932
16,Cybersecurity,33
16,Healthcare & Social Assistance,102
16,Medical Value Travel,26
16,Unknown,903
16,civic & social organization,49
16,civil engineering,24
16,education management,227
16,financial services,10
16,government administration,521
16,graphic design,13
16,higher education,135
16,hospital & health care,181
16,human resources,21
16,individual & family services,426
16,information technology and services,14
16,internet,457
16,law enforcement,48
16,maritime,19
16,mental health care,114
16,museums and institutions,28
16,non-profit organization management,1047
16,nonprofit organization management,5
16,oil & energy,61
16,performing arts,48
16,philanthropy,8
16,public relations and communications,35
16,recreational facilities and services,20
16,religious institutions,21
16,renewables & environment,18
16,staffing and recruiting,90
16,veterinary,11
16,writing and editing,11
17,Aerospace & Defense,118
17,Automotive & Electric Vehicles,17
17,Capital Goods & Industrial Machinery,160
17,Construction & Civil Infrastructure,294
17,Energy & Power Generation,71
17,Environmental Services,259
17,Gems & Jewellery,29
17,IT Services & Software Development,61
17,Materials & Metallurgical Engineering,10
17,Real Estate & Property Management,136
17,Retail & E-commerce,47
17,Shipping & Marine Engineering,21
17,Transport & Logistics Services,482
17,Unknown,460
17,accounting,47
17,architecture & planning,120
17,automotive,40
17,aviation & aerospace,60
17,biotechnology,27
17,building materials,138
17,business supplies and equipment,17
17,chemicals,20
17,civil engineering,495
17,computer & network security,45
17,computer software,32
17,construction,824
17,consumer goods,78
17,defense & space,202
17,design,246
17,electrical/electronic manufacturing,79
17,environmental services,112
17,facilities services,64
17,financial services,106
17,government administration,50
17,graphic design,30
17,higher education,104
17,hospital & health care,31
17,human resources,76
17,information technology and services,495
17,internet,51
17,investment management,29
17,legal services,75
17,management consulting,60
17,maritime,11
17,marketing and advertising,153
17,mechanical or industrial engineering,129
17,medical devices,78
17,mining & metals,40
17,motion pictures and film,37
17,museums and institutions,22
17,music,33
17,non-profit organization management,19
17,oil & energy,119
17,outsourcing/offshoring,22
17,packaging and containers,12
17,photography,17
17,real estate,21
17,research,50
17,retail,28
17,semiconductors,13
17,sports,61
17,staffing and recruiting,1227
17,textiles,14
17,transportation/trucking/railroad,43
17,utilities,29
17,warehousing,18
18,Fashion & Apparel,18
18,Information Technology Enabled Services (ITeS),86
18,Retail & E-commerce,1216
18,Transport & Logistics Services,302
18,Unknown,233
18,accounting,45
18,airlines/aviation,50
18,apparel & fashion,459
18,automotive,113
18,broadcast media,23
18,building materials,16
18,business supplies and equipment,96
18,chemicals,173
18,consumer electronics,23
18,consumer goods,155
18,consumer services,35
18,design,179
18,facilities services,13
18,financial services,114
18,food & beverages,131
18,food production,26
18,furniture,23
18,"health, wellness and fitness",19
18,hospital & health care,78
18,hospitality,64
18,human resources,39
18,import and export,52
18,individual & family services,48
18,information technology and services,11
18,internet,15
18,luxury goods & jewelry,316
18,machinery,34
18,management consulting,48
18,marketing and advertising,197
18,non-profit organization management,127
18,oil & energy,32
18,real estate,26
18,religious institutions,16
18,restaurants,131
18,retail,3300
18,staffing and recruiting,116
18,supermarkets,41
18,telecommunications,18
18,transportation/trucking/railroad,7
18,veterinary,11
18,warehousing,57
18,wholesale,39
19,Accounting & Finance Services,27
19,Education Services,4
19,Healthcare & Social Assistance,555
19,Legal Services,34
19,Professional Services & Consulting,14
19,Unknown,1777
19,automotive,35
19,construction,38
19,consumer goods,12
19,consumer services,16
19,defense & space,112
19,education management,95
19,electrical/electronic manufacturing,64
19,environmental services,22
19,fund-raising,30
19,government administration,672
19,"health, wellness and fitness",322
19,higher education,111
19,hospital & health care,1741
19,hospitality,31
19,human resources,100
19,individual & family services,638
19,information technology and services,84
19,internet,102
19,law enforcement,100
19,legal services,37
19,market research,32
19,marketing and advertising,39
19,medical practice,117
19,mental health care,1425
19,non-profit organization management,899
19,nonprofit organization management,56
19,plastics,30
19,primary/secondary education,31
19,religious institutions,23
19,restaurants,29
19,retail,33
19,staffing and recruiting,203
19,textiles,30
20,Accounting & Finance Services,645
20,Education Services,12
20,Environmental Services,688
20,Financial Services & Fintech,133
20,Information Technology Enabled Services (ITeS),133
20,Legal Services,258
20,Professional Services & Consulting,308
20,Tourism & Hospitality,20
20,Unknown,297
20,accounting,117
20,automotive,56
20,banking,380
20,building materials,16
20,business supplies and equipment,20
20,capital markets,20
20,computer software,28
20,construction,39
20,consumer services,64
20,defense & space,70
20,design,19
20,education management,18
20,electrical/electronic manufacturing,73
20,environmental services,33
20,financial services,470
20,food production,24
20,government administration,68
20,higher education,53
20,hospital & health care,62
20,human resources,221
20,information technology and services,168
20,insurance,518
20,internet,22
20,investment management,18
20,law practice,10
20,legal services,96
20,"leisure, travel & tourism",114
20,machinery,44
20,management consulting,343
20,maritime,14
20,marketing and advertising,104
20,mechanical or industrial engineering,21
20,media production,32
20,medical practice,47
20,museums and institutions,19
20,non-profit organization management,34
20,outsourcing/offshoring,20
20,plastics,30
20,real estate,34
20,renewables & environment,32
20,retail,30
20,sporting goods,36
20,staffing and recruiting,539
20,telecommunications,7
20,textiles,11
20,writing and editing,10
21,Data Science & Analytics,14
21,Education Services,223
21,Retail & E-commerce,583
21,Unknown,782
21,building materials,26
21,civic & social organization,26
21,computer software,41
21,consumer goods,27
21,consumer services,17
21,design,39
21,e-learning,14
21,education management,741
21,government administration,33
21,higher education,552
21,hospital & health care,48
